Container ID,Description,Origin
EFGH9876543,13579 KGS 45.234 CUBIC METER 750 CARTON TOOLS & HARDWARE HS CODES 820940. SHIPPER DECLARES.,"Shenzhen, China"
MNOP1234567,IN 30 PALLETS OF ELECTRONICS CONTAINING BATTERIES AND CHARGERS. ,"Seoul, South Korea"
QWERTY789012,LOADED ON 18 PLT(S) FABRICATED METAL PARTS HS-CODE84199010. ,"Guangzhou, China"
VBNM6543210,GRIMSBY AMBREE 6.5% ABV. BEER EACH 24/33CL BOTTLES CB 4160410 / 278214357.,Hong Kong
PQRST9876543,ON 12 PALLETS CONTAINING TIRE CHAINS (SLOW-MOVING VEHICLE) ANCHO 150 MM NET WEIGHT 3852 KG CIF MANILA. ,Singapore
XCVBN1234567,8765 KGS 20.101 CUBIC METER 100 CARTON APPAREL HS CODES 620920. SHIPPER DECLARES.,"Shenzhen, China"
MNOPIK123456,IN 25 PALLETS OF MACHINERY PARTS AND ACCESSORIES. ,Hong Kong
YZXCVB789012,LOADED ON 15 PLT(S) CRAFTED WOODEN FURNITURE HS-CODE94013010.,"Guangzhou, China"
QWERTYUIOP1234,GRAND CHAMPAGNE RESERVE 2015 EACH 75CL BOTTLES CB 4160410 / 278214357.,"Seoul, South Korea"
HGFJKL3456789,ON 8 PALLETS CONTAINING SPROCKETS (BOSCH) QTY 500 PIECES NET WEIGHT 2504 KG CIF LIVERPOOL.,Singapore
PQRW1234567,56789 KGS 22.111 CUBIC METER 421 CARTON FURNITURE PARTS & ACCESSORIES HS CODES 94039000. SHIPPER DECLARES.,"Shanghai, China"
MNOP9876543,IN 30 PALLETS OF TEXTILES AND YARN CONTAINING NON-DANGEROUS GOODS.,"Rotterdam, Netherlands"
VWXY1234567,LOADED ON 15 PLT(S) SILICONE SEALANTS FOR CONSTRUCTION HS-CODE32079010.,"Antwerp, Belgium"
CDEFGH1234567,"GRANOLA AND NUTS, DRIED IN 20 PLT(S) NET WEIGHT 1858 KG CIF LOS ANGELES.","Le Havre, France"
