Raw_data_input,Raw_data_input_processed,LLM_prediction,Expected_output,Expected_output_two_digits,Predicted_output_two_digits,CorrectMatch_two_digits,Expected_output_four_digits,Predicted_output_four_digits,CorrectMatch_four_digits
GLASSWARE HS CODE 7013.4 9.99.00 - 7013.28.90.00 MA RK MOULD NOQUANTITY 128 1,glassware ma rk mould noquantity,7013.49,7013,70,70,1,7013,7013,1
TUBOS 7306.3011 TUBOS Y ACCESORIOS HS CODE 7307.1990-7307.9980 RAMPAS HS CODE 7321.9000 TAPON HS CODE 7326 TUERCA DE LATON HS CODE 7415.3300 ACCESORIOS DE TUBERIA DE ALUMINIO HS CODE 7609.0000,tube tube and ramp tapon nut brass aluminum pipe,7411.21,7307,73,74,0,7307,7411,0
PAPER  HS CODE 4810 1300 ORDER 2218198NCM CODES 4810 1300,paper order,4809.90,4810,48,48,1,4810,4809,0
SINGEL WIRE SEAL HS CODE 401693 BANQBRE4803792,singel wire seal banqbre,8544.11,401693,40,85,0,4016,8544,0
CONTAINING 1725 PIECES SEAMLESS STEEL PIPES HS CODE 730429 MEXICOTE 52 2299891631 - 52 1282 - AMOJICA EXIROS.COM CONTACT ABEL MOJICA TE 52 2299890700 - DAVID.LARA KROMADUANAL.COM CONTACT DAVID LARA G. FREIGHT PREPAID,Containing seamless steel pipe mexico amozica exiroscom contact abel mojica te davidlara kromaduanalcom contact david lara g prepaid,7304.19,730429,73,73,1,7304,7304,1
FREIGHT PREPAIDOF COSMETIC ITEMSHS CODE  330499,prepaidof cosmetic itemshs,3307.90,330499,33,33,1,3304,3307,0
SPICES  GINGER  NEITHER CRUSHED NOR GROUNDFREIGHT PREPAIDDE 25 KG CON 22 000 KGDE PREPARADO ALIMENTICIO A BASE DE PIMENTONCALIDAD LORD LOTE 142101MPSHIPPER DECLARES SALES TERMS CIF VERACRUZFOOD SEASONING WITH PAPRIKA POWDERHS CODE  090422,spice ginger neither crushed nor groundfresh prepaidde with of food preparation based on pimentonquality lord lote mpshipper salt term veracruzfood seasoning with paprika powderhs,0910.11,090422,09,09,1,0904,0910,0
3X40HR SAID TO CONTAIN 60 PACKAGES 60 PACKAGES OF 1250 ML COCA COLA 2 ACL PRINTED FLINT EMPTY GLASS BOTTLES SHPR REF. 20210317 CNEE REF. 43000570315 HS CODE 70109000 21 DAYS FREE TIME AT DESTINATION,xhr said to of ml cola acl printed flint empty glass shpr ref cnee ref day free time at,7010.10,70109000,70,70,1,7010,7010,1
STEERING COMPONENTS FOR AUTOMOBILES HS CODE 870894 .,steering component for automobile,8708.94,870894,87,87,1,8708,8708,1
1X20DC. SAID TO CONTAIN 20 COLLIS 20000 KG ACIDO CITRICO ANHIDRO CAA F6000 EN BIG BAGS DE 1000 KG SOBRE 20 PALETAS CON CON FORRO POLIETILENO ORIGEN AUSTRIA HS CODE 29181400,Said to collis citric acid anhydrous caa in big bag of on with polyethylene lining Austrian,2918.14,29181400,29,29,1,2918,2918,1
1X40HC. SAID TO CONTAIN 82 COLLI TUFTING CARPETS  HS CODE 57032098  INVOICE GVF 21004559,said to contain colli tufting carpet gvf,5703.90,57032098,57,57,1,5703,5703,1
SANDSTONE SLABS / LOSA DE ARENISCA HS CODE 251620,sandstone slab sandstone slab,2516.20,251620,25,25,1,2516,2516,1
