Raw_data_input,Raw_data_input_processed,LLM_prediction,Expected_output,Expected_output_two_digits,Predicted_output_two_digits,CorrectMatch_two_digits,Expected_output_four_digits,Predicted_output_four_digits,CorrectMatch_four_digits
GLASSWARE HS CODE 7013.4 9.99.00 - 7013.28.90.00 MA RK MOULD NOQUANTITY 128 1,"Glassware, Containers, and Molded Products.",3924.10,7013,70,39,0,7013,3924,0
TUBOS 7306.3011 TUBOS Y ACCESORIOS HS CODE 7307.1990-7307.9980 RAMPAS HS CODE 7321.9000 TAPON HS CODE 7326 TUERCA DE LATON HS CODE 7415.3300 ACCESORIOS DE TUBERIA DE ALUMINIO HS CODE 7609.0000,"Tubes, fittings, ramps, caps, brass nuts, aluminum tubing.",7609.00,7307,73,76,0,7307,7609,0
PAPER  HS CODE 4810 1300 ORDER 2218198NCM CODES 4810 1300,"Paper, HS Code 4810, NCM Codes 4810.",4810,4810,48,48,1,4810,4810,1
SINGEL WIRE SEAL HS CODE 401693 BANQBRE4803792,"Single wire, sealed, metallic.",7223.00,401693,40,72,0,4016,7223,0
CONTAINING 1725 PIECES SEAMLESS STEEL PIPES HS CODE 730429 MEXICOTE 52 2299891631 - 52 1282 - AMOJICA EXIROS.COM CONTACT ABEL MOJICA TE 52 2299890700 - DAVID.LARA KROMADUANAL.COM CONTACT DAVID LARA G. FREIGHT PREPAID,"Seamless steel pipes of Mexican origin, classified under Harmonized System (HS) code 730429.",730429,730429,73,73,1,7304,7304,1
FREIGHT PREPAIDOF COSMETIC ITEMSHS CODE  330499,"Cosmetic items, prepaid freight.",3307.90,330499,33,33,1,3304,3307,0
SPICES  GINGER  NEITHER CRUSHED NOR GROUNDFREIGHT PREPAIDDE 25 KG CON 22 000 KGDE PREPARADO ALIMENTICIO A BASE DE PIMENTONCALIDAD LORD LOTE 142101MPSHIPPER DECLARES SALES TERMS CIF VERACRUZFOOD SEASONING WITH PAPRIKA POWDERHS CODE  090422,"Spices, ginger, food seasoning, and paprika powder.",0907.20,090422,09,09,1,0904,0907,0
3X40HR SAID TO CONTAIN 60 PACKAGES 60 PACKAGES OF 1250 ML COCA COLA 2 ACL PRINTED FLINT EMPTY GLASS BOTTLES SHPR REF. 20210317 CNEE REF. 43000570315 HS CODE 70109000 21 DAYS FREE TIME AT DESTINATION,"Coca Cola, glass bottles, Harmonized System (HS) Code 7010.9000.",7010.9000,70109000,70,70,1,7010,7010,1
STEERING COMPONENTS FOR AUTOMOBILES HS CODE 870894 .,Steering components and automotive parts.,8708.94,870894,87,87,1,8708,8708,1
1X20DC. SAID TO CONTAIN 20 COLLIS 20000 KG ACIDO CITRICO ANHIDRO CAA F6000 EN BIG BAGS DE 1000 KG SOBRE 20 PALETAS CON CON FORRO POLIETILENO ORIGEN AUSTRIA HS CODE 29181400,"Anhydrous Citric Acid, Big Bags, Pallets, Polyethylene.",3825.61,29181400,29,38,0,2918,3825,0
1X40HC. SAID TO CONTAIN 82 COLLI TUFTING CARPETS  HS CODE 57032098  INVOICE GVF 21004559,"Tufted carpets, 82 colors.",5703.10,57032098,57,57,1,5703,5703,1
SANDSTONE SLABS / LOSA DE ARENISCA HS CODE 251620,"Sandstone, slabs, and flagstones.",2516.20,251620,25,25,1,2516,2516,1
CERAMIC TILES HS CODE 690721 COEM SPA,"Ceramic tiles, porcelain, Harmonized System (HS) code 6907.",6907,690721,69,69,1,6907,6907,1
CHOCOLATE HS CODE 1806 31 DATA LOGGER ID S120060805-18                       DE-HUMIDIFICATION 65%,"Cocoa, Dehumidification System, Monitoring Device.",1802.00,1806,18,18,1,1806,1802,0
ONE CONTAINER WITH 1 FLEXITANK GLICERINA REFINADA PO 4503206417 NET WEIGHT 22750 KGS TOTAL NET WEIGHT 113830 KGS TOTAL GROSS WEIGHT 114355 KGS HS CODE 29054500 PE 21057EC01001730F FREIGHT PREPAID,"Refined Glycerin, Flexitank.",2905.45,29054500,29,29,1,2905,2905,1
DISPOSABLE MEDICAL FACE MASKN AHS CODE  630790 FAX EMAIL TAX ID 9144010178376732X5  TAX ID  SME980702916 T   52  55 4334 7000EXT 7043PHONE  FAX EMAIL  JONATHAN LIEDOT BOLLORE COMFREIGHT PREPAID,Medical Disposable Face Masks.,9020.00,630790,63,90,0,6307,9020,0
FREIGHT COLLECTEN TOTAL 1472 CAJAS ACEITUNAS EN FRASCOS YLATASHS CODE  200570P O  13381 1200570  HS OLIVESEN TOTAL 984 CAJAS ACEITUNAS EN POUCHES YLATASHS CODE  200570P O  13274 1OLIVES FX  5255 50917570 EMAIL MPEREZ NAVIOMAR COM MXTHIS MASTER BILL C,"Olives, olive pits, bottles, and packaging.",0711.20,200570,20,07,0,2005,0711,0
FINISHED BOVINE LEATHER HS CODE 410712,"Finished leather, derived from cattle.",4107.19,410712,41,41,1,4107,4107,1
SOAP BASE HS CODE 34011101,"Soap base, detergents, and cleaning products.",3401.20,34011101,34,34,1,3401,3401,1
WINE  STILL  IN CONTAINERS HOLDING 2 LITRES ORLESSWINE  STILL  IN CONTAINERS HOLDING 2 LITRES ORLESSFREIGHT PREPAIDWINE HS CODE  220421 KGM 21840 BODEGAS RUIZ TORRESPO IMP MX2100295THIS MASTER BILL COVERS NON AUTOMATED NVOCC HOUSEBILL NUMBER IBC07518,"Still wine, 2 liters or less.",2204.21,220421,22,22,1,2204,2204,1
FSC CONTROLLED WOOD DNV-CW-000692 SUPREME TOPLIFT SU SHIP REF 21012200010 HS CODE 47032100,"Controlled wood products certified by the Forest Stewardship Council (FSC), timber, and lumber.",4407.12,47032100,47,44,0,4703,4407,0
1X40HR SAID TO CONTAIN 2 324 BOXES PLUMS SLOES NON FROZEN FRUIT CIRUELA BLACK SPLENDOR CAT.I HS CODE 080940 NET WEIGHT 21.735 KGS RYANS HFKRN02KEV JAS1W001G0 COLD TREATMENT FREIGT PREPAID,"Plums, non-frozen fruit.",0809.40,080940,08,08,1,0809,0809,1
FECULA DE PAPA GRADO ALIMENTICIO POTATO STARCH SUPERIOR PALLETIZED TAX ID HME 660303531 HS CODE 11081300,High-quality food-grade potato starch.,1108.13,11081300,11,11,1,1108,1108,1
GHANA NATURAL COCOA BUTTER BARRY CALLEBAUT NATURAL COCOA BUTTER TYPE DF1100(100% GHANA COCOA BEANS) HS CODE1804.00 TOTAL QUANTITY22.725MT NET WT22.725MT,Ghana origin natural cocoa butter from Barry Callebaut made from 100% Ghana cocoa beans.,1804.00,1804,18,18,1,1804,1804,1
TRACTOR CABIN AND SPAREPARTSHS CODE  870790INV YIH2021000001194YIH2021000000825YIH2021000001035HBL NUMBER   SO035812FREIGHT PREPAID,Tractor Cabin Spare Parts.,8436.99,870790,87,84,0,8707,8436,0
ROUND BARS HOT ROLLED HS CODE 721499,"Round bars, hot rolled, steel.",7213.10,721499,72,72,1,7214,7213,0
MUEBLES HS CODE 940360 LASKASAS  IHO ESPACIOS SA DE CV,"Furniture, Spaces, Chair.",9401.61,940360,94,94,1,9403,9401,0
WASTE PAPER SORTED WHITE LEDGER HS CODE 4707200000,"Sorted white waste paper, specifically a ledger.",4820.10,4707200000,47,48,0,4707,4820,0
BACALAO LINGMOLVA MOLVA  HS CODE 030553 NCM CODES 030553,"Fish, lingcod, and molva.",0305.20,30553,03,03,1,0305,0305,1
1X20DC. SAID TO CONTAIN 1 711 BOXES 1711 BOXES WITH MACHETES AND SCISSORS MACHETES CAZANGAS Y TIJERAS BRAND TRUPER NET WEIGHT 18087 67 KGS GROSS WEUGHT 19005 49 KGS HS CODE 820140 821300 SAR N F60193Z,"Machetes, scissors, and Truper brand products.",8211.93,820140,82,82,1,8201,8211,0
ON 20 PALLETSRPC BRAMLAGE FOODCREAM CHEESE PACKAGINGGMBHAS PER PROFORMA INVOICE ZELLER PLASTIK38998089  38998090 MEXICO SA DE CV38998091  38998092 38998093  38998094 38998095HS CODE  392310ON 21 PALLETSRPC BRAMLAGE FOODCREAM CHEESE PACKAGINGGMBHAS PE,Food and cream cheese packaging.,0402.10,392310,39,04,0,3923,0402,0
MARBLE AND BASALTINA SLABS HS CODE 68029910-68029100,"Marble, Basaltina, and Slabs.",2515.12,68029910,68,25,0,6802,2515,0
PHARMACEUTICALS ASPIRINA PROTECT 100MG 28ST HS CODE 30049000000 DO 0123528006000010 LOADED ON 43 PAL PO 2270046501 SPOT R46017040000004,Aspirin Protect 100mg Pharmaceutical Grade.,2918.22,30049000000,30,29,0,3004,2918,0
FORKLIFT TRUCKS HS CODE 842720 PO 4500197904,"Industrial forklifts, machinery, and equipment.",8431.20,842720,84,84,1,8427,8431,0
GIRASOL CONFITERO ARGENTINO CON CASCARA HS CODE 1206.00 NET WEIGHT 21500 KG,"Sunflower, Pastry Maker, Argentinean, Coffee Grounds.",1206.00,1206,12,12,1,1206,1206,1
LIVE PLANTS HS CODE 060290  CONSIGNEE FLORES DE CHILTEPEC SA DE CVRFC FCI931005IQ8 ANTIGUO CAMINO CH,"Plants, Live Flowers.",0603.19,060290,06,06,1,0602,0603,0
SUSPENSION AND STEERING PARTS OF TURKEY ORIGIN HS CODE870899,Suspension and steering components of Turkish origin.,8708.94,870899,87,87,1,8708,8708,1
ADHESIVE TAPE ROLLSHS CODE  39199080 39191080DETENTION AND DEMURRAGE APPLIED AT DESTINATIONWILL BE AS PROVIDED IN THE CONTRACT SQ QHBG057887FREIGHT PREPAIDGENERAL CMA CGM TERMS AND CONDITIONS TO BE FOUNDUNDER WWW CMA CGM COMTHIS MASTER BILL COVERS 1,"Adhesive tape rolls, freight paid.",3919.10,39199080,39,39,1,3919,3919,1
FREIGHT PREPAIDCIGARETTES WINSTON BLUE  HS CODE 240220 CIGARETTES WINSTON BLUE CIGARETTES CAMEL YELLOW  HS CODE 240220 CIGARETTES WINSTON CLASSIC CIGARETTES WINSTON BLUE CIGARETTES LD RED CIGARETTES CAMEL YELLOW  HS CODE 240220 SECOND NOTIFY PARTYSB,"Cigarettes, Winston and Camel, freight prepaid.",2402.20,240220,24,24,1,2402,2402,1
GLYOXAL 40  EXPORTBASF1300KG COMPOSITE IBC3017357986 000010HS CODE  29121900FEDERAL REPUBLIC OF GERMANYFREIGHT PREPAIDTHC DESTINATION COLLECT  CIUDAD DE MEXICO  MEXICOPHONE  55 57233082EMAIL  INVOICES INTERCOMPANY MEXICO BASF COMFAX  55 56116331   CI,"Glyoxal, IBC container, product of BASF, originating from Mexico, classified under Harmonized System (HS) code 29121900.",29121900,29121900,29,29,1,2912,2912,1
1X40HR SAID TO CONTAIN 1 407 CONTAINER METAL 1407 CARTONS QUESO GOUDA 48 M.G.E.S. 1 X APPROX 15 KGS PESO NETO 21334 55 KG HS CODE 04069078 LOTE 735852 NUMERO DE PEDIDO 21 11 GROSS WEIGHT 22439 KG CHEESE FRESH GRATED OR POWDERED NON FROZEN,"We are looking for cheese, specifically Gouda cheese that is fresh and available in grated or powdered form.",0406.20,04069078,04,04,1,0406,0406,1
DIMETHYLTEREPHTHALAT  DMT  HS CODE  291737 DIMETHYLTEREPHTHALAT  DMT  HS CODE  291737DIMETHYLTEREPHTHALAT  DMT HS CODE  291737FREIGHT PREPAIDGENERAL CMA CGM TERMS AND CONDITIONS TO BE FOUNDUNDER WWW CMA CGM COMTHIS MASTER BILL COVERS AUTOMATED NVOCC,Dimethyl terephthalate (DMT) CAS 120-61-6.,2917.37,291737,29,29,1,2917,2917,1
STC PARCIALIDAD DE SISTEMA DE REGULACION DE TEMPERATURA Y HUMEDAD PARA INVERNADERO HIDROPONICO HS CODE 940690,"Temperature and humidity control system, hydroponic greenhouse.",8424.82,940690,94,84,0,9406,8424,0
POTASSIUM CHLORATE  5M2 MARINE POLLUTANT HS CODE 28291900,"Potassium chlorate, marine pollutant, chemical substance.",2829.19,28291900,28,28,1,2829,2829,1
WHEAT FLOUR ALL PURPOSE 25 KG SEMOLINA NO.2 25 KG HS CODE 110100 NW 22.675 00 K G,"Wheat flour, semolina, all-purpose, 25 kilograms.",1101.00,110100,11,11,1,1101,1101,1
PUERTAS BLINDADAS Y SUS ACCESORIOS HS CODE 830300 MERCANCIA ORIGEN ESPANA,Bulletproof Doors Accessories Protection,8531.10,830300,83,85,0,8303,8531,0
VIDRIO FLOTADO CLARO EN 1.6 MM MEDIDAS FIJAS HS CODE 70052925,Clear Float Glass 1.6 mm Fixed Dimensions.,7005.10,70052925,70,70,1,7005,7005,1
STEEL REELS HS CODE 72082700 INVOICE N? 551738,Steel Reels.,9507.30,72082700,72,95,0,7208,9507,0
MONOFILE POLYESTER HS CODE54041900 FREIGHT PREPAID SHIPPED ON BOARD,Single-Component Polyester.,3907.99,54041900,54,39,0,5404,3907,0
WASTE PAPER SORTED WHITE LEDGER  HS CODE 4707200000 NCM CODES 4707200000,"Sorted white waste paper, specifically a ledger.",4820.10,4707200000,47,48,0,4707,4820,0
35 CARDPALS 90566144 RUBBER GOODS  HS CODE 40059900NCM CODES 40059900   ZZ,Rubber Products.,4005.10,40059900,40,40,1,4005,4005,1
1X40HR SAID TO CONTAIN 2 324 BOXES PEACHES NECTARINES NON FROZEN FRUIT PLUMS NW 20916 KG HS CODE 080940 RYAN HT2012022829 HT2012022805,"Fresh produce includes peaches, nectarines and plums, all of which are not frozen.",0809.30,080940,08,08,1,0809,0809,1
NICKEL ELECTROLITIC AS PER PACKING LIST PL-02052021LAZ 20 WOODEN CASES DELIVERY OF ORDER 0577 COMMERCIAL INVOICE NO 020521LAZ HS CODE 75021000,"Nickel, Electrolytic, Wooden Cases.",7506.10,75021000,75,75,1,7502,7506,0
OILS LUBRICANTSOILS AND LUBRICANTSEXLD939048HARMLESS CHEMICALSDELIVERY NOTE 221939048HS CODE  27101981OILS AND LUBRICANTSEXLD926112HARMLESS CHEMICALSDELIVERY NOTE  221926112HS CODE  27101981FREIGHT PREPAIDGENERAL CMA CGM TERMS AND CONDITIONS TO BE FO,Oil and Lubricants Harmless Chemicals.,3403.99,27101981,27,34,0,2710,3403,0
RELIGIOUS BOOKS FOR DONATION HS CODE 490199,"Religious literature, donations.",4902.90,490199,49,49,1,4901,4902,0
COFFEE MACHINE AND GRINDING HS CODE 84198120,"Coffee machine, grinding and espresso equipment.",8419.81,84198120,84,84,1,8419,8419,1
FREIGHT PREPAIDSPARKLING MINERAL WATERLDP7020229HS CODE 22011019,Sparkling mineral water.,2201.10,22011019,22,22,1,2201,2201,1
LAMPS HS CODE 85392130  85392930TB  750576605INVOICE NO  413189382   09 04 2021853921  HS FREIGHT PREPAIDGENERAL CMA CGM TERMS AND CONDITIONS TO BE FOUNDUNDER WWW CMA CGM COMTHIS MASTER BILL COVERS 1 AUTOMATED NVOCCHOUSEBILL   SHKK276941048061,"Automated Lamps, Freight Prepaid.",8539.41,85392130,85,85,1,8539,8539,1
ONE CONTAINER WITH 18 BUNDLES TAEDA PINE LUMBER PE 21001EC01035848L ORDER PV 368921 FREIGHT PREPAID HS CODE 4407.11.00 M3 46.782,"Taeda pine lumber, bundles, freight prepaid, Harmonized System (HS) Code 4407.11.00.",4407.11.00,4407,44,44,1,4407,4407,1
REFRACTORY MATERIAL HS CODE 3816 0000 TAMSA LADLE APRIL,"Refractory material, ladle, and Tamsa.",8454.20,3816,38,84,0,3816,8454,0
BRAKE PADS - HS CODE 68138100,"Brake pads, friction materials, and automotive components.",6813.81,68138100,68,68,1,6813,6813,1
PVC ROLLSHS CODE 39204910,PVC rolls and flexible plastic sheets.,3904.22,39204910,39,39,1,3920,3904,0
OFFICE CHAIRS AND PARTS  HS CODE 9403 9090 9401 90807318 1568 7318 1499 4901 1000 3926 3000 3921 909,Office chairs.,9403.10,9403,94,94,1,9403,9403,1
TOILET PAPER PACKING MACHINERY HS CODE 84224000  FREIGHT PREPAID NCM CODES 842240,Toilet paper packaging equipment.,8441.30,84224000,84,84,1,8422,8441,0
NASSEMBLED PARTS FOR PANS HS CODE 73239400,Components assembled for pots and kitchen utensils made of stainless steel.,7324.10,73239400,73,73,1,7323,7324,0
HERRAJES PARA MUEBLES HS CODE 83024200 EMAIL G.GIACOMO RAGO-GROUP.COM,Furniture Hardware,8301.30,83024200,83,83,1,8302,8301,0
CARTULINA NEGRA BOB 170 GRS HS CODE 480258 CARTULINA BLANCA BOB 210 GRS HS CODE 480258,"Corrugated cardboard, paper, black and white.",4808.10,480258,48,48,1,4802,4808,0
2376 PACKAGES PEELED TOMATOES AND ALIMENTARY SAUCES HS CODE 200210 - 210320 2414 PACKAGES PEELED TOMATOES AND ALIMENTARY SAUCES HS CODE 200210 - 200290 - 210390 FREIGHT PAYABLE IN ADVANCE,Peel and prepare tomatoes for use in food products such as sauces.,2002.90,200210,20,20,1,2002,2002,1
5 EXP WOOD FIBER BOARDS NCM 4411.13.10 HS CODE 4411.13 INVOICE EXP 207421 FREIGHT PREPAID DU-E 21BR000832361-3 RUC 1BR76518836200000000000,"Wood Fiber Boards, Export, Harmonized System (HS) Code 4411.13 and National Customs Classification (NCM) 4411.13.10, Wood Products.",4410.19,4411,44,44,1,4411,4410,0
ALMIDON MODIFICADO PAPA EMFLO KPS 200 HS CODE 35051050,"Father, Almond Flour, Modified, Starch.",3505.10,35051050,35,35,1,3505,3505,1
SPIRITS HS CODE 2208  NCM CODES 220870,Alcoholic drinks and liquors.,2208.90,2208,22,22,1,2208,2208,1
