Raw_data_input,Raw_data_input_processed,LLM_prediction,Expected_output,Expected_output_two_digits,Predicted_output_two_digits,CorrectMatch_two_digits,Expected_output_four_digits,Predicted_output_four_digits,CorrectMatch_four_digits
GLASSWARE HS CODE 7013.4 9.99.00 - 7013.28.90.00 MA RK MOULD NOQUANTITY 128 1,glassware ma rk mould noquantity,6911.00,7013,70,69,0,7013,6911,0
TUBOS 7306.3011 TUBOS Y ACCESORIOS HS CODE 7307.1990-7307.9980 RAMPAS HS CODE 7321.9000 TAPON HS CODE 7326 TUERCA DE LATON HS CODE 7415.3300 ACCESORIOS DE TUBERIA DE ALUMINIO HS CODE 7609.0000,tube tube and ramp tapon nut brass aluminum pipe,7318.90,7307,73,73,1,7307,7318,0
PAPER  HS CODE 4810 1300 ORDER 2218198NCM CODES 4810 1300,paper order,4810.10,4810,48,48,1,4810,4810,1
SINGEL WIRE SEAL HS CODE 401693 BANQBRE4803792,singel wire seal banqbre,7614.90,401693,40,76,0,4016,7614,0
CONTAINING 1725 PIECES SEAMLESS STEEL PIPES HS CODE 730429 MEXICOTE 52 2299891631 - 52 1282 - AMOJICA EXIROS.COM CONTACT ABEL MOJICA TE 52 2299890700 - DAVID.LARA KROMADUANAL.COM CONTACT DAVID LARA G. FREIGHT PREPAID,Containing seamless steel pipe mexico amozica exiroscom contact abel mojica te davidlara kromaduanalcom contact david lara g prepaid,7214.40,730429,73,72,0,7304,7214,0
FREIGHT PREPAIDOF COSMETIC ITEMSHS CODE  330499,prepaidof cosmetic itemshs,9018.10,330499,33,90,0,3304,9018,0
SPICES  GINGER  NEITHER CRUSHED NOR GROUNDFREIGHT PREPAIDDE 25 KG CON 22 000 KGDE PREPARADO ALIMENTICIO A BASE DE PIMENTONCALIDAD LORD LOTE 142101MPSHIPPER DECLARES SALES TERMS CIF VERACRUZFOOD SEASONING WITH PAPRIKA POWDERHS CODE  090422,spice ginger neither crushed nor groundfresh prepaidde with of food preparation based on pimentonquality lord lote mpshipper salt term veracruzfood seasoning with paprika powderhs,0905.10,090422,09,09,1,0904,0905,0
3X40HR SAID TO CONTAIN 60 PACKAGES 60 PACKAGES OF 1250 ML COCA COLA 2 ACL PRINTED FLINT EMPTY GLASS BOTTLES SHPR REF. 20210317 CNEE REF. 43000570315 HS CODE 70109000 21 DAYS FREE TIME AT DESTINATION,xhr said to of ml cola acl printed flint empty glass shpr ref cnee ref day free time at,I cannot provide an HS code based on the provided text. Is there anything else I can help you with?,70109000,70,I ,0,7010,I ca,0
STEERING COMPONENTS FOR AUTOMOBILES HS CODE 870894 .,steering component for automobile,8708.30,870894,87,87,1,8708,8708,1
1X20DC. SAID TO CONTAIN 20 COLLIS 20000 KG ACIDO CITRICO ANHIDRO CAA F6000 EN BIG BAGS DE 1000 KG SOBRE 20 PALETAS CON CON FORRO POLIETILENO ORIGEN AUSTRIA HS CODE 29181400,Said to collis citric acid anhydrous caa in big bag of on with polyethylene lining Austrian,2918.90,29181400,29,29,1,2918,2918,1
1X40HC. SAID TO CONTAIN 82 COLLI TUFTING CARPETS  HS CODE 57032098  INVOICE GVF 21004559,said to contain colli tufting carpet gvf,5209.49,57032098,57,52,0,5703,5209,0
SANDSTONE SLABS / LOSA DE ARENISCA HS CODE 251620,sandstone slab sandstone slab,2517.12,251620,25,25,1,2516,2517,0
CERAMIC TILES HS CODE 690721 COEM SPA,ceramic tile coem spa,6916.10,690721,69,69,1,6907,6916,0
CHOCOLATE HS CODE 1806 31 DATA LOGGER ID S120060805-18                       DE-HUMIDIFICATION 65%,chocolate data logger s dehumidification,9013.90,1806,18,90,0,1806,9013,0
ONE CONTAINER WITH 1 FLEXITANK GLICERINA REFINADA PO 4503206417 NET WEIGHT 22750 KGS TOTAL NET WEIGHT 113830 KGS TOTAL GROSS WEIGHT 114355 KGS HS CODE 29054500 PE 21057EC01001730F FREIGHT PREPAID,one with flexitank glycerine refined po total total pe ecf prepaid,2916.10,29054500,29,29,1,2905,2916,0
DISPOSABLE MEDICAL FACE MASKN AHS CODE  630790 FAX EMAIL TAX ID 9144010178376732X5  TAX ID  SME980702916 T   52  55 4334 7000EXT 7043PHONE  FAX EMAIL  JONATHAN LIEDOT BOLLORE COMFREIGHT PREPAID,medical face maskn ahs fax sme t ext phone fax jonathan liedot bollore brokere prepaid,6102.90.00,630790,63,61,0,6307,6102,0
FREIGHT COLLECTEN TOTAL 1472 CAJAS ACEITUNAS EN FRASCOS YLATASHS CODE  200570P O  13381 1200570  HS OLIVESEN TOTAL 984 CAJAS ACEITUNAS EN POUCHES YLATASHS CODE  200570P O  13274 1OLIVES FX  5255 50917570 EMAIL MPEREZ NAVIOMAR COM MXTHIS MASTER BILL C,fresh collect total olive box in jar ylatashs p or olive total olive box in pouch ylatashs p o olive fx mperez naviomar com mxthis master bill c,5201.00.18,200570,20,52,0,2005,5201,0
FINISHED BOVINE LEATHER HS CODE 410712,finished bovine leather,1106.10,410712,41,11,0,4107,1106,0
SOAP BASE HS CODE 34011101,soap base,0402.91.70,34011101,34,04,0,3401,0402,0
WINE  STILL  IN CONTAINERS HOLDING 2 LITRES ORLESSWINE  STILL  IN CONTAINERS HOLDING 2 LITRES ORLESSFREIGHT PREPAIDWINE HS CODE  220421 KGM 21840 BODEGAS RUIZ TORRESPO IMP MX2100295THIS MASTER BILL COVERS NON AUTOMATED NVOCC HOUSEBILL NUMBER IBC07518,wine still in holding litre orlesswine still in holding litre orlessfree prepaidwine kgm bodega ruiz turresopo imp mxthis master bill cover non automated nvocc housebill number ibc,5201.00.18,220421,22,52,0,2204,5201,0
FSC CONTROLLED WOOD DNV-CW-000692 SUPREME TOPLIFT SU SHIP REF 21012200010 HS CODE 47032100,fsc controlled wood dnvcw supreme toplift your ship ref,9406.10,47032100,47,94,0,4703,9406,0
