HTS code	Description
01	Chapter 1   Live animals
01.01	Live horses, asses, mules and hinnies.
0101.21.00	Live horses, asses, mules and hinnies. - > Horses: -->   Pure bred breeding animals
0101.29.00	Live horses, asses, mules and hinnies. - > Horses: -->   Other
0101.30	Live horses, asses, mules and hinnies. -> Asses:
0101.30.10	Live horses, asses, mules and hinnies. - > Asses: -->   Pure bred breeding animals
0101.30.90	Live horses, asses, mules and hinnies. - > Asses: -->   Other
0101.90.00	Live horses, asses, mules and hinnies. -> Other
01.02	Live bovine animals.
0102.21.00	Live bovine animals. - > Cattle: -->   Pure bred breeding animals
0102.29	Live bovine animals. - > Cattle: -->   Other:
0102.29.10	Live bovine animals. - > Cattle: -->     Male cattle (including oxen)
0102.29.90	Live bovine animals. - > Cattle: -->     Other
0102.31.00	Live bovine animals. - > Buffalo: -->   Pure bred breeding animals
0102.39.00	Live bovine animals. - > Buffalo: -->   Other
0102.90	Live bovine animals. -> Other:
0102.90.10	Live bovine animals. - > Other: -->   Pure bred breeding animals
0102.90.90	Live bovine animals. - > Other: -->   Other
01.03	Live swine.
0103.10.00	Live swine. -> Pure bred breeding animals
0103.91.00	Live swine. - > Other: -->   Weighing less than 50 kg
0103.92.00	Live swine. - > Other: -->   Weighing 50 kg or more
01.04	Live sheep and goats.
0104.10	Live sheep and goats. -> Sheep:
0104.10.10	Live sheep and goats. - > Sheep: -->   Pure bred breeding animals
0104.10.90	Live sheep and goats. - > Sheep: -->   Other
0104.20	Live sheep and goats. -> Goats:
0104.20.10	Live sheep and goats. - > Goats: -->   Pure bred breeding animals
0104.20.90	Live sheep and goats. - > Goats: -->   Other
01.05	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.
0105.11	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->   Fowls of the species Gallus domesticus :
0105.11.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Breeding fowls
0105.11.90	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Other
0105.12	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->   Turkeys:
0105.12.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Breeding turkeys
0105.12.90	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Other
0105.13	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->   Ducks:
0105.13.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Breeding ducklings
0105.13.90	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Other
0105.14	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->   Geese:
0105.14.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Breeding goslings
0105.14.90	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Other
0105.15	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->   Guinea fowls:
0105.15.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Breeding guinea fowls
0105.15.90	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Weighing not more than 185 g: -->     Other
0105.94	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->   Fowls of the species Gallus domesticus :
0105.94.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Breeding fowls, other than fighting cocks
0105.94.40	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Fighting cocks
0105.94.91	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->       Weighing not more than 2 kg
0105.94.99	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->       Other
0105.99	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->   Other:
0105.99.10	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Breeding ducks
0105.99.20	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Other ducks
0105.99.30	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Breeding geese, turkeys and guinea fowls
0105.99.40	Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls. - > Other: -->     Other geese, turkeys and guinea fowls
01.06	Other live animals.
0106.11.00	Other live animals. - > Mammals: -->   Primates
0106.12.00	Other live animals. - > Mammals: -->   Whales, dolphins and porpoises (mammals of the order Cetacea manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)
0106.13.00	Other live animals. - > Mammals: -->   Camels and other camelids (Camelidae)
0106.14.00	Other live animals. - > Mammals: -->   Rabbits and hares
0106.19.00	Other live animals. - > Mammals: -->   Other
0106.20.00	Other live animals. -> Reptiles (including snakes and turtles)
0106.31.00	Other live animals. - > Birds: -->   Birds of prey
0106.32.00	Other live animals. - > Birds: -->   Psittaciformes (including parrots, parakeets, macaws and cockatoos)
0106.33.00	Other live animals. - > Birds: -->   Ostriches; emus (Dromaius novaehollandiae)
0106.39.00	Other live animals. - > Birds: -->   Other
0106.41.00	Other live animals. - > Insects: -->   Bees
0106.49.00	Other live animals. - > Insects: -->   Other
0106.90.00	Other live animals. -> Other
02	Chapter 2   Meat and edible meat offal
02.01	Meat of bovine animals, fresh or chilled.
0201.10.00	Meat of bovine animals, fresh or chilled. -> Carcasses and half carcasses
0201.20.00	Meat of bovine animals, fresh or chilled. -> Other cuts with bone in
0201.30.00	Meat of bovine animals, fresh or chilled. -> Boneless
02.02	Meat of bovine animals, frozen.
0202.10.00	Meat of bovine animals, frozen. -> Carcasses and half carcasses
0202.20.00	Meat of bovine animals, frozen. -> Other cuts with bone in
0202.30.00	Meat of bovine animals, frozen. -> Boneless
02.03	Meat of swine, fresh, chilled or frozen.
0203.11.00	Meat of swine, fresh, chilled or frozen. - > Fresh or chilled: -->   Carcasses and half carcasses
0203.12.00	Meat of swine, fresh, chilled or frozen. - > Fresh or chilled: -->   Hams, shoulders and cuts thereof, with bone in
0203.19.00	Meat of swine, fresh, chilled or frozen. - > Fresh or chilled: -->   Other
0203.21.00	Meat of swine, fresh, chilled or frozen. - > Frozen: -->   Carcasses and half carcasses
0203.22.00	Meat of swine, fresh, chilled or frozen. - > Frozen: -->   Hams, shoulders and cuts thereof, with bone in
0203.29.00	Meat of swine, fresh, chilled or frozen. - > Frozen: -->   Other
02.04	Meat of sheep or goats, fresh, chilled or frozen.
0204.10.00	Meat of sheep or goats, fresh, chilled or frozen. -> Carcasses and half carcasses of lamb, fresh or chilled
0204.21.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, fresh or chilled: -->   Carcasses and half carcasses
0204.22.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, fresh or chilled: -->   Other cuts with bone in
0204.23.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, fresh or chilled: -->   Boneless
0204.30.00	Meat of sheep or goats, fresh, chilled or frozen. -> Carcasses and half carcasses of lamb, frozen
0204.41.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, frozen: -->   Carcasses and half carcasses
0204.42.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, frozen: -->   Other cuts with bone in
0204.43.00	Meat of sheep or goats, fresh, chilled or frozen. - > Other meat of sheep, frozen: -->   Boneless
0204.50.00	Meat of sheep or goats, fresh, chilled or frozen. -> Meat of goats
0205.00.00	Meat of horses, asses, mules or hinnies, fresh, chilled or frozen.
02.06	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen.
0206.10.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. -> Of bovine animals, fresh or chilled
0206.21.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - > Of bovine animals, frozen: -->   Tongues
0206.22.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - > Of bovine animals, frozen: -->   Livers
0206.29.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - > Of bovine animals, frozen: -->   Other
0206.30.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. -> Of swine, fresh or chilled
0206.41.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - > Of swine, frozen: -->   Livers
0206.49.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. - > Of swine, frozen: -->   Other
0206.80.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. -> Other, fresh or chilled
0206.90.00	Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh, chilled or frozen. -> Other, frozen
02.07	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.
0207.11.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->   Not cut in pieces, fresh or chilled
0207.12.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->   Not cut in pieces, frozen
0207.13.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->   Cuts and offal, fresh or chilled
0207.14	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->   Cuts and offal, frozen:
0207.14.10	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->     Wings
0207.14.20	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->     Thighs
0207.14.30	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->     Livers
0207.14.91	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->       Mechanically deboned or separated meat
0207.14.99	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of fowls of the species Gallus domesticus : -->       Other
0207.24.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->   Not cut in pieces, fresh or chilled
0207.25.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->   Not cut in pieces, frozen
0207.26.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->   Cuts and offal, fresh or chilled
0207.27	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->   Cuts and offal, frozen:
0207.27.10	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->     Livers
0207.27.91	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->       Mechanically deboned or separated meat
0207.27.99	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of turkeys: -->       Other
0207.41.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of ducks: -->   Not cut in pieces, fresh or chilled
0207.42.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of ducks: -->   Not cut in pieces, frozen
0207.43.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of ducks: -->   Fatty livers, fresh or chilled
0207.44.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of ducks: -->   Other, fresh or chilled
0207.45.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of ducks: -->   Other, frozen
0207.51.00	Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen. - > Of geese: -->   Not cut in pieces, fresh or chilled
